Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
SEVEN EMIRATES INVESTMENT LLC,Investment & Holding,Investment company,Medium,Name-derived,5
SEVEN EMIRATES PLASTIC CONTAINER TRADING LLC,Packaging Trading,Plastic containers trading,High,Name-derived,3
SHAKER ALI AL-SAMAD TRADING Co.,Trading & Distribution,General trading,Low,Name-derived,1
SHAN GLOBAL TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived,3
SHAPOORJI PALLONJI INTERNATIONAL FZ,Construction & Contracting,Large-scale EPC contractor,High,Name-derived,3
SHARIF HASSAN ALI TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
SHATRY TRADING ESTABLISHMENT,Trading & Distribution,General trading,Low,Name-derived,1
SHINEJOIN WEB DESIGN LLC,Marketing Services,Web design & digital,High,Name-derived,2
SHIRIN ASAL MIDDLE EAST GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SHOKRI HASSAN TRADING CO. L. L. C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
"SHOWTECH SOUND, LIGHTING AND SUPPORT SYSTEMS",AV & Systems Integration,Event sound & lighting systems,High,Name-derived,4
SHRUNGI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
SIGMA ELECTROMECHANICAL TRADING LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,6
SIGMA INTEGRATED TECHNICAL SERVICES,Technical Services,Technical & maintenance services,Medium,Name-derived,2
SILK LAND STAR TRADING L.L.C.,Textiles & Apparel Trading,Furnishing fabrics & textiles,High,Name-derived,1
SILK LAND TRADING FZCO,Textiles & Apparel Trading,Furnishing fabrics & textiles,High,Name-derived,9
SILKLAND FURNISHING PRIVATE LTD - BANGALORE,Textiles & Apparel Trading,Furnishing fabrics,High,Name-derived,1
SILKLAND TRADING L.L.C.,Textiles & Apparel Trading,Furnishing fabrics & textiles,High,Name-derived,12
SILVER ARCADE LINEN LLC,Textiles & Apparel Trading,Linen & home textiles,High,Name-derived,4
SILVER ROCK FRAMING GALLERY LLC,Retail,Art framing & gallery,High,Name-derived,1
SILVERTECH ENGINEERING LLC,Engineering Services,Engineering services,Medium,Name-derived,5
SINOTRANS MIDDLE EAST FZE (BRANCH),Logistics & Supply Chain,Freight forwarding (Sinotrans),High,Name-derived,1
SIRALI RESTAURANT LLC,Food Service,Restaurant,High,Name-derived,1
SKY CITY READYMADE GARMENTS TRADING LLC,Textiles & Apparel Trading,Readymade garments trading,High,Name-derived,1
SKY HIGH HR PROVISION SERVICES- LLC- SPC,HR & Recruitment,HR services,High,Name-derived,1
SKY JEWELLERY,Jewellery & Precious Metals,Jewellery retail,High,Name-derived,2
SKY STEEL SYSTEMS LLC,Manufacturing - Steel Fabrication,Steel structures,High,Name-derived,3
SKY TRADING FZE,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SKYMAT BUILDING MATERIALS TRADING L.L.C,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,4
SMART INSULATION FINISHING SYSTEMS LLC,Construction Services,Insulation & finishing systems,High,Name-derived,3
SMART MOBILE SOLUTIONS,IT Services,Mobile technology solutions,Medium,Name-derived,1
SMART PHARMA TRADING LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,3
SMART TOUCH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
SMART ZONE HEAVY EQUIPMENT RENTAL LLC,Equipment Rental,Heavy equipment rental,High,Name-derived,2
SMARTLIFT HANDLING LOADING & LIFTING EQUIPMENT RENTAL L.L.C,Equipment Rental,Lifting equipment rental,High,Name-derived,1
SNH Packing General Trading LLC,Packaging Trading,Packaging materials trading,High,Name-derived,4
SNOWHITE GARMENTS L.L.C.,Manufacturing - Textiles,Uniforms & workwear,High,Name-derived,3
SOFT & HYGIENIC PAPER MANUFACTURING LLC,Manufacturing - Paper & Packaging,Tissue & hygiene paper,High,Name-derived,4
SOIL STORE FOODSTUFF TRADING,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,4
SOLICO FIBERGLASS FACTORY LLC,Manufacturing - Plastics,FRP / fiberglass products,High,Name-derived,3
SOUNDME WORLD FZE,Consumer Electronics,Audio products trading,High,Name-derived,1
SOUTH LINK INTERNATIONAL FOODSTUFF LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,4
SOUVENIR POTATOES TRADING CO. LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
SPACE AAM GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
SPACE LAND TECHNICAL SERVICES,Technical Services,Technical & maintenance services,Medium,Name-derived,2
SPACEAGE ELECTRICAL SWITCHGEAR CO. WLL,Manufacturing - Electrical,LV switchgear panels,High,Name-derived,3
SPECTRUM HEARTS THERAPEUTIC CENTER,Healthcare,Therapy & rehabilitation centre,High,Name-derived,1
SPECTRUM INT’L L.L.C,Trading & Distribution,General trading,Low,Name-derived,1
SPEED BLAST TRADING LLC,Industrial Distribution,Blasting equipment & abrasives,High,Name-derived,1
SPEEDY TECHNICAL SERVICES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP LLC),Technical Services,Technical / maintenance services,High,Name-derived,2
SPOT SHOES TRADING,Textiles & Apparel Trading,Footwear trading,High,Name-derived,4
SREE CHEMTECH FZE,Chemicals Distribution,Specialty chemicals trading,High,Name-derived,3
SRQ TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
STAHL CRANE SYSTEMS FZE,Manufacturing - Machinery,Hoists & crane components,High,Name-derived,4
STALLION ON DEMAND LABOR SUPPLY LLC,HR & Recruitment,Labour supply,High,Name-derived,3
STANDARD ACCESS SCAFFOLDING CONTRACTING LLC,Construction Services,Scaffolding & access,High,Name-derived,4
STANDARD SANITARY WARES SHOP,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,2
STANFORD MARINE L. L. C,Marine Services,OSV ownership & marine services,High,Name-derived,1
STAR CITY AUTOS SPARE PARTS TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
STAR PACK PACKAGING INDUSTRY.L.L.C,Manufacturing - Paper & Packaging,Packaging production,High,Name-derived,1
STAR SECURITY SERVICES LLC,Security Services,Manned guarding,High,Name-derived,1
STAR SERVICES LLC,HR & Recruitment,Manpower supply & outsourcing,High,Name-derived,6
STAR SERVICES OUTSOURCING CONSULTANTS LTD. COMPANY,HR & Recruitment,Manpower outsourcing,High,Name-derived,1
STAR X AUTO TRADE FZCO,Automotive Retail,Vehicle trading,High,Name-derived,1
STATUS 67 AUTO REPAIR LLC,Automotive Services,Vehicle repair garage,High,Name-derived,2
STERLING SITES FZCO,Building Materials Trading,"Ladders, adhesives, abrasives, hardware & sanitaryware",High,Web-verified,5
STREAM ENERGY DEVELOPMENT - SOLE PROPRIETORSHIP L.L.C.,Energy,Energy project development,Medium,Name-derived,2
STREAM RECRUITMENT– SOLE PROPRIERSHIP LLC,HR & Recruitment,Recruitment services,High,Name-derived,1
SUCDEN MIDDLE EAST,Commodity Trading,Soft commodities - sugar & cocoa,High,Name-derived,4
SUDHIR GENSETS FZE,Power Generation Equipment,Diesel generating sets,High,Name-derived,3
SUHOL AL FAYHA TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,8
SULTHAN STONES LLC,Building Materials Trading,Natural stone supply,High,Name-derived,1
SUMMER CRESCENT TRADING COMPANY,Trading & Distribution,General trading,Low,Name-derived,1
SUNBEAM INTERNATIONAL FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,HR & Recruitment,Recruitment & outsourcing,High,Name-derived,3
SUNNY FRESH TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SUNTECH BUSINESS SOLUTIONS,IT Services,Business software & IT solutions,Medium,Name-derived,4
SWISS CHOCOLATE FACTORY LLC,Manufacturing - Food,Chocolate & confectionery,High,Name-derived,1
SWISS WATCH GROUP LLC,Luxury Retail,Watch retail & distribution,High,Name-derived,1
SWISS WATCH HOUSE L.L.C.,Luxury Retail,Watch retail,High,Name-derived,6
SWITCH FOODSTUFF TRADING CO. LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,3
SWITCHGEAR ELECTRO MECHANICAL LLC,MEP & Electromechanical,Switchgear & electromechanical works,High,Name-derived,2
T.M.F EURO FOUNDATIONS (L.L.C),Construction Services,Piling & foundations,High,Name-derived,2
TAAZA QUALITY FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,3
TABBARA ELECTRONICS LLC,Consumer Electronics,Electronics distribution,High,Name-derived,3
TAF HOUSE MATERIAL LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,2
TAIF AL MADINA CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,9
TALENT VISION COMPANY,HR & Recruitment,Recruitment services,High,Name-derived,3
TAMM GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
TANWEER GROUP SA,Trading & Distribution,International trading,Low,Name-derived,4
TAQNIAT INTELLIGENT SOLUTIONS,IT Services,Technology solutions integrator,Medium,Name-derived,8
TAWOOS AGRICULTURE (UAE) LLC,Agriculture,Agricultural production & services,High,Name-derived,6
TEAM STAR SPARE PARTS L.L.C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,2
TEAM TWENTY ONE AUTO REPAIRING,Automotive Services,Vehicle repair garage,High,Name-derived,1
TECHNICAL RESOURCES LLC,Industrial Equipment,"Equipment sales, service, plant hire & workshops (Albwardy Group)",High,Web-verified,5
TECHNO MARINE EQUIPMENT SERVICES LLC,Marine Services,Marine equipment services,High,Name-derived,3
TECHNO POWER ARABIA COMPANY,Electrical Trading,Electrical products & services,Medium,Name-derived,2
TECHNOMECH ELECTROMECHANICAL WORKS LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
TECHNOSERVE TRADING CO. LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
TEE DEE INTERNATIONAL FZE,Trading & Distribution,General trading,Low,Name-derived,1
TEE DEE METAL SOLUTIONS FZE,Manufacturing - Metals,Metal products,Medium,Name-derived,1
TEE DEE METALS LLC,Manufacturing - Metals,Metal products,Medium,Name-derived,1
TEE DEE TECHNOLOGIES LLC,Trading & Distribution,Technical products trading,Low,Name-derived,1
TEE DEE TRADING L.L.C,Trading & Distribution,General trading,Low,Name-derived,1
TELAL ENGINEERING & CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
TELEPHONY TELECOM TECHNOLOGIES,Telecommunications,Telecom systems & services,High,Name-derived,5
TERRASOL HOSPITALITY SERVICES,Hospitality,Hospitality services,Medium,Name-derived,2
TERZETTO,Timber & Wood Trading,Hardwood & teak timber trading (Terzetto Group),Medium,Web-verified,1
TERZETTO OVERSEAS DMCC,Timber & Wood Trading,Hardwood & teak timber trading (Terzetto Group),High,Web-verified,4
THAKKAR TRADING CO.L. L. C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
THE H HOTEL LLC,Hospitality,Hotel,High,Name-derived,3
THE IMPERIAL SUITES HOTEL,Hospitality,Hotel,High,Name-derived,1
THE INDIAN HIGH SCHOOL,Education,K-12 private school,High,Name-derived,3
THE LEATHER DOCTOR,Repair Services,Leather & upholstery repair,High,Name-derived,1
THE PAVILION FOOD PROCESSING LLC,Manufacturing - Food,Food processing,High,Name-derived,5
THE PRODUCTION HUB L.L.C,Media & Entertainment,Video / event production,High,Name-derived,4
THREEZONE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
TILES AND BATH BUILDING MATERIALS LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
TIME BRIDGE FZCO,Unclassified,Searched - no public business description found,Low,Web-verified,4
TJJ & Co.,Unclassified,Insufficient information in name,Low,Name-derived,1
TODAY  LIGHT TRADING L. L. C,Electrical Trading,Lighting products,High,Name-derived,1
TOGETHER TEXTILES (CHINA),Textiles & Apparel Trading,Textile sourcing & supply,High,Name-derived,3
TOP LINK CONTRACTING & GENERAL TRANSPORT LLC,Freight Transport,Road transport & haulage,Medium,Name-derived,25
TOP STAR TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
TOPCOAT TRADING LLC,Building Materials Trading,Paints & coatings,High,Name-derived,4
TOROS SKY FOODSTUFF TRADING CO,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
TR88HOUSE RESTAURANT AND ENTERTAINMENT CENTER LLC,Food Service,Restaurant & entertainment venue,High,Name-derived,3
TRANSCAP SHIPPING LINE LLC,Shipping,Shipping line / agency,High,Name-derived,1
TRI STAR GULF FZCO,Building Materials Trading,Building & interiors products trading,Low,Web-verified,3
TRIAD SOFTWARE SERVICES,Software & ERP,Software development services,High,Name-derived,2
TRITON FOODS LLC,Food & Beverage Trading,Foodstuff distribution,Medium,Name-derived,3
TRITON MIDDLE EAST LLC,Manufacturing - Chemicals,"Sealants, waterproofing & protective coatings",High,Web-verified,4
TROPILAND FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
TUNES INTERIOR DECORATION,Fit-Out & Joinery,Interior decoration,High,Name-derived,2
TWAM AGRICULTURE,Agriculture,Agricultural production,Medium,Name-derived,1
U A E ENTERPRISES BUILDING MATERIAL TRADING L.L.C,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
ULTIMATE AUTO SPARE PARTS L. L. C.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,2
ULTIMATE BUSINESS SOLUTION LLC,IT Services,Business software & IT solutions,Medium,Name-derived,1
UMAI BAN GROUP OF COMPANY LLC,Diversified Group,Diversified group,Medium,Name-derived,1
UMCO TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
UMER ALI TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
UNGER STEEL FABRICATION FZE,Manufacturing - Steel Fabrication,Structural steel construction,High,Name-derived,3
UNGER STEEL MIDDLE EAST FZE,Manufacturing - Steel Fabrication,Structural steel construction,High,Name-derived,6
UNI ARAB ENGINEERING & OILFIELD SERVICES,Oil & Gas Services,Oilfield engineering services,High,Name-derived,3
UNIMAR MARBLE FACTORY,Manufacturing - Building Products,Marble processing,High,Name-derived,2
UNIQUE COURIER CARGO SERVICE LLC,Logistics & Supply Chain,Courier & cargo,High,Name-derived,1
UNITED COMPANY VETERINARY MEDICINES IND. L.L.C.,Pharmaceuticals,Veterinary medicines manufacturing,High,Name-derived,1
UNITED NATIONS DEVELOPMENT PROGRAMME,Government & NGO,UN development agency,High,Name-derived,5
UNITED QUARRIES,Mining & Quarrying,Aggregates & quarry products,High,Name-derived,1
UNITED TECHNOLOGY & TRADING Co.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
UNIVERSAL BLUE OCEAN CONSULTANT,Professional Services,Business consultancy,Medium,Name-derived,3
URBAN LINES STATIONERY TRADING LLC,Retail,Retail operations,Medium,Name-derived,2
VALCROM GLOBAL DWC LLC,Industrial Distribution,"Valves, actuators, pipes, flanges & gaskets for oil, gas & water",High,Web-verified,1
VALIANT PACIFIC LLC,Marine Services,Offshore & marine support services,High,Name-derived,4
VALLEY GARDEN TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
VEE PEE TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
VEEMA UK LIMITED T/AS RUPALI,Food & Beverage Trading,Food brand / distribution,Low,Name-derived,3
VEGANIC FRUITS AND VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
VENDOME TEA DMCC,Food & Beverage Trading,Tea trading & branding,High,Name-derived,3
VEXUS INTERIORS L.L.C.,Fit-Out & Joinery,Interior fit-out,High,Name-derived,4
VICTORIA INTERNATIONAL SCHOOL OF SHARJAH,Education,K-12 international school,High,Name-derived,5
VIGNESH VEGETABLES & FRUITS TRADING,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
VINIRMA TEXTILES EXPORTS PRIVATE LIMITED,Textiles & Apparel Trading,Textile export,High,Name-derived,1
VIPUL KUMAR TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
VISION CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,2
VISION PLUS,Unclassified,Insufficient information in name,Low,Name-derived,1
VISIUN TRADING AND LOGISTICS FZE,Logistics & Supply Chain,Trading & logistics,Medium,Name-derived,1
VIVANTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
VIVENTUM INTERNATIONAL W.L.L,Pharmaceuticals,"Pharma, medical device & FMCG distribution (Qatar)",High,Web-verified,1
VMP CONSULTANCY,Professional Services,Business consultancy,Medium,Name-derived,3
VR TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived,3
VTS CLIMA WLL,Manufacturing - HVAC,Air handling units & HVAC,High,Name-derived,1
VTS MEA AIR CONDITION TRADING CO LLC,HVAC Trading,Air conditioning equipment,High,Name-derived,1
VUEGA  PACKING INDUSTRIES,Manufacturing - Paper & Packaging,Packaging production,High,Name-derived,6
WADI AL TAIEF EGGS TRADING LLC,Fresh Produce & Grocery,Eggs wholesale,High,Name-derived,3
WAHA FRUITS TRADING COMPANY,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
WATER SEAL INSULATION MATERIAL CONTRACTING COMPANY LLC,Construction Services,Waterproofing & insulation,High,Name-derived,8
WATERLINE IT SOLUTIONS FZE,IT Services,IT solutions & services,High,Name-derived,1
WATT ELECTRICALS EST.,Electrical Trading,Electrical products & services,Medium,Name-derived,2
WEATHER GULF AIR CONDITION TRADING LLC,HVAC Trading,Air conditioning equipment,High,Name-derived,1
WEIR OIL & GAS,Oil & Gas Services,Pressure pumping equipment & aftermarket,High,Name-derived,6
WELL WORTH FOOD STUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
WELLCARE PASSENGER TRANSPORT BY LUXURY CAR LLC,Passenger Transport,Chauffeur services,High,Name-derived,1
WHITE ALUMINIUM COMPANY LLC,Manufacturing - Building Products,Aluminium & glass facades,High,Name-derived,5
WHITE LABEL L.L.C,Food Service,"F&B / hospitality group (Billionaire Mansion, Epicure Catering, Cirque le Soir)",High,Web-verified,4
WHITE LINE LIMOUSINE LLC,Passenger Transport,Limousine services,High,Name-derived,1
WINGS POWER SOLUTIONS,Power Generation Equipment,Power / generator solutions,Medium,Name-derived,1
WOCO TECH LTD FZC,Technology,Technology products & solutions,Medium,Name-derived,5
WOODFLOORS MIDDLE EAST L.L.C,Furniture & Interiors,Wood flooring supply,High,Name-derived,2
WOODLEM EDUCATION,Education,School group,High,Name-derived,1
WORKFORCE CONNEXIION LLC,HR & Recruitment,Manpower supply,High,Name-derived,2
WORLD WIDE TRADERS OWNED BY ISMAIL AQIL JANAHI ONE PERSON COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
WORLEY ENGINEERING PTY LIMITED,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,5
WORLEY OMAN ENGINEERING LLC,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,1
WORLEY WLL,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,1
WORLEYPARSONS CONSULTANCY & PROJECTS MANAGEMENT CO. W.L.L.,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,2
WORLEYPARSONS EGYPT,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,1
WORLEYPARSONS OMAN,Engineering Consultancy,Energy & resources EPCM (Worley),High,Name-derived,1
WOROOD INTRAFLORA LLC,Florist & Gifts,Flowers & gifts retail,High,Name-derived,8
XIAMEN TIME FOOD STUFF TRADING L.L.C,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
YALDA TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
YALWAN VEGETABLE & FRUIT COMPANY LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
YASHTECH TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
YAZWAA RECRUITMENT - L.L.C,HR & Recruitment,Recruitment services,High,Name-derived,1
YAZWAA RECRUITMENT- SOLE PROPRIETORSHIP LLC,HR & Recruitment,Recruitment services,High,Name-derived,3
YKM MIDDLE EAST L.L.C.,Manufacturing - Metals,"Wire mesh, chain link fencing & shade nets",High,Web-verified,1
YORK ELEVATORS & ESCALATORS FIXING LLC,Elevators & Escalators,Lift installation & maintenance,High,Name-derived,2
ZAHRAT AL DHAID AGRICULTURE MATERIALS LLC,Agriculture,Agriculture & agri-inputs,Medium,Name-derived,2
ZARA FRESH FRUITS TRADING L.L.C - SHOP #130,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
ZAYAN COSMETICS TRADING,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived,3
ZF SERVICES MIDDLE EAST LLC,Automotive,Driveline & chassis components (ZF),High,Name-derived,1
ZIVA WET WIPES FZCO,Manufacturing - Paper & Packaging,Wet wipes production,High,Name-derived,2
